serial,epoch,batchsize,filter,first_conv_kernel,second_conv_kernel,output_height,output_width,dense_layer,max_core,driver_core,executor_cores,task_cpus,executor_instances,driver_memory,executor_memory,memory_fraction,storage_fraction,parallelism,dataLoadingTime,dataShuffleTime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,dataValidationTime,Just random string,first_conv_flops,first_pool,first_relu,second_conv_flops,second_pool,second_relu,dense_layer_1,dense_layer_2,total_flops_per_epoch
75,1,1000,5,16,16,4,4,500,1,1,1,1,1,1g,4g,1,0,1,851651275,21841159,333021023,338312551,1405663,673153648,13444379,1908820,0,3676516097,InstrumentationResult,652288,9216,9216,1847808,2304,2304,257000,10020,2790156000
76,1,1000,5,16,32,4,4,100,1,1,1,1,1,1g,4g,1,0,1,733758311,23453770,324275212,346141929,1350029,672211352,13545237,1749634,0,3601194973,InstrumentationResult,652288,9216,9216,3695616,4608,4608,102600,2020,4480172000
77,1,1000,5,16,32,4,4,200,1,1,1,1,1,1g,4g,1,0,1,789803890,26392079,313786564,324899313,1254241,640427996,13427090,1609125,0,3394064874,InstrumentationResult,652288,9216,9216,3695616,4608,4608,205200,4020,4584772000
78,1,1000,5,16,32,4,4,300,1,1,1,1,1,1g,4g,1,0,1,845977123,24095178,365741319,393111380,1034216,760376146,13890802,1720537,0,3856222547,InstrumentationResult,652288,9216,9216,3695616,4608,4608,307800,6020,4689372000
79,1,1000,5,16,32,4,4,400,1,1,1,1,1,1g,4g,1,0,1,841471136,20431314,373403281,388932502,1344224,764115024,13408585,1641099,0,3986361207,InstrumentationResult,652288,9216,9216,3695616,4608,4608,410400,8020,4793972000
80,1,1000,5,16,32,4,4,500,1,1,1,1,1,1g,4g,1,0,1,725931199,20718611,381051270,395919419,998011,778429571,12687882,1917571,0,4048536225,InstrumentationResult,652288,9216,9216,3695616,4608,4608,513000,10020,4898572000
81,1,1000,5,32,32,4,4,100,1,1,1,1,1,1g,4g,1,0,1,745618804,23576134,376546816,393912804,1323027,772265117,13078925,2007752,0,3986013813,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,102600,2020,8837292000
82,1,1000,5,32,32,4,4,200,1,1,1,1,1,1g,4g,1,0,1,771262108,25617059,579648173,646188567,1245316,1227541781,13546068,1472070,0,6043874258,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,205200,4020,8941892000
83,1,1000,5,32,32,4,4,300,1,1,1,1,1,1g,4g,1,0,1,852592489,24036853,362366885,384516302,1234712,748566602,13107393,1606212,0,3989966131,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,307800,6020,9046492000
84,1,1000,5,32,32,4,4,400,1,1,1,1,1,1g,4g,1,0,1,837341773,21226505,592100274,684356819,1193435,1278107510,13135918,1737016,0,6235288405,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,410400,8020,9151092000
85,1,1000,5,32,32,4,4,500,1,1,1,1,1,1g,4g,1,0,1,832228806,18354111,631575531,698450010,1209528,1331681138,12980479,1901025,0,6455779797,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,513000,10020,9255692000
86,1,1000,5,32,64,4,4,100,1,1,1,1,1,1g,4g,1,0,1,800582738,19700774,610691120,677783191,5360891,1294286753,12572177,1958683,0,6333302637,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,205000,2020,16330924000
87,1,1000,5,32,64,4,4,200,1,1,1,1,1,1g,4g,1,0,1,831559614,26739609,706773358,891470162,1215347,1599902448,13240344,1641779,0,7376729679,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,410000,4020,16537924000
88,1,1000,5,32,64,4,4,300,1,1,1,1,1,1g,4g,1,0,1,729944720,25450483,726681000,879479475,1198309,1607800224,13078954,1956688,0,7513456378,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,615000,6020,16744924000
89,1,1000,5,32,64,4,4,400,1,1,1,1,1,1g,4g,1,0,1,818016542,21125339,735375141,917426351,1394038,1654657288,13976455,2208410,0,7560760615,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,820000,8020,16951924000
90,1,1000,5,32,64,4,4,500,1,1,1,1,1,1g,4g,1,0,1,807996512,24124699,728765227,902829883,1146353,1633235101,13542057,2424631,0,7575733272,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,1025000,10020,17158924000
91,1,1000,5,64,64,4,4,100,1,1,1,1,1,1g,6g,1,0,1,739965405,21982399,737754154,893776689,1183339,1633194102,14003173,2947491,0,7595336671,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,205000,2020,32417964000
92,1,1000,5,64,64,4,4,200,1,1,1,1,1,1g,6g,1,0,1,832239541,24839628,1264904630,1676017077,1142607,2942518610,12878813,1743481,0,12886750674,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,410000,4020,32624964000
93,1,1000,5,64,64,4,4,300,1,1,1,1,1,1g,6g,1,0,1,820897383,23128011,1251394631,1635437060,1234259,2888536703,13630096,1989990,0,12869817001,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,615000,6020,32831964000
94,1,1000,5,64,64,4,4,400,1,1,1,1,1,1g,6g,1,0,1,776069848,20567893,1265513021,1694248831,1195889,2961401445,12695217,2218657,0,12795330168,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,820000,8020,33038964000
95,1,1000,5,64,64,4,4,500,1,1,1,1,1,1g,6g,1,0,1,812647992,22061292,743334242,928337332,1003434,1673174468,13665053,2894718,0,7684532010,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,1025000,10020,33245964000
96,1,1000,5,64,128,4,4,100,1,1,1,1,1,1g,8g,1,0,1,801710336,21863013,1257738622,1755558173,1182841,3014952378,13319155,2805838,0,13125639491,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,409800,2020,62150828000
97,1,1000,5,64,128,4,4,200,1,1,1,1,1,1g,8g,1,0,1,823482551,24428280,1746318153,2507787889,1170239,4255732249,13205753,2285002,0,17726539729,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,819600,4020,62562628000
98,1,1000,5,64,128,4,4,300,1,1,1,1,1,1g,8g,1,0,1,720719473,23643778,1257484765,1690512642,1006397,2949465629,14186081,2914925,0,12692336720,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,1229400,6020,62974428000
99,1,1000,5,64,128,4,4,400,1,1,1,1,1,1g,8g,1,0,1,789569652,21233068,1745920285,2548223173,1169069,4295802159,13313882,3380230,0,17633949196,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,1639200,8020,63386228000
100,1,1000,5,64,128,4,4,500,1,1,1,1,1,1g,8g,1,0,1,780422908,23118272,1762707789,2610923405,1045678,4375203280,14369501,4163465,0,17913660346,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,2049000,10020,63798028000
102,1,1500,5,4,4,4,4,200,1,1,1,1,1,1g,4g,1,0,1,842619548,19262152,131369016,153888817,2156317,287875765,21308609,1450942,0,1254257497,InstrumentationResult,163072,2304,2304,116352,576,576,26000,4020,472806000
103,1,1500,5,4,4,4,4,300,1,1,1,1,1,1g,4g,1,0,1,796868913,25293731,141835012,169370061,1688283,313432874,18727435,1655456,0,1424116097,InstrumentationResult,163072,2304,2304,116352,576,576,39000,6020,495306000
104,1,1500,5,4,4,4,4,400,1,1,1,1,1,1g,4g,1,0,1,792098907,20250730,135520127,161540893,2317006,299856359,18463558,1664495,0,1337151986,InstrumentationResult,163072,2304,2304,116352,576,576,52000,8020,517806000
105,1,1500,5,4,4,4,4,500,1,1,1,1,1,1g,4g,1,0,1,820404299,24197032,141662610,166938412,2145546,311230372,19292671,1672423,0,1395962477,InstrumentationResult,163072,2304,2304,116352,576,576,65000,10020,540306000
106,1,1500,5,4,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,855087674,24958045,148816724,186981552,2026583,338340225,19384224,1775470,0,1409220948,InstrumentationResult,163072,2304,2304,232704,1152,1152,25800,2020,645762000
107,1,1500,5,4,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,884728552,20468270,143237029,166887841,2090487,312731209,19063993,1494621,0,1341959069,InstrumentationResult,163072,2304,2304,232704,1152,1152,51600,4020,687462000
108,1,1500,5,4,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,789636521,23138850,157035288,178699399,2045433,338288588,18735281,4491308,0,1497797419,InstrumentationResult,163072,2304,2304,232704,1152,1152,77400,6020,729162000
110,1,1500,5,4,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,819832577,23580930,158040776,189244712,2144629,349926160,18740466,1598814,0,1513074301,InstrumentationResult,163072,2304,2304,232704,1152,1152,129000,10020,812562000
